rs_id,qi_id,rs_name,qi_name,rs_filename,qi_filename,same_filename
110916,14704,"Ring Leopold I geschonken aan Gerard Waefelaer","B512/10/1 - Bague donnée par Léopold Ier à Gérard Waefelaer, Ring Leopold I donated to Gérard Waefelaer, Ring Leopold I geschonken aan Gerard Waefelaer",B51201001_M01.tif,b51201001-01.jpg,
110909,14702,"Ring Leopold I in etui geschonken aan Gerard Waefelaer met bijhorende schenkingsbrief","B512/10 - Bague donnée par Léopold Ier à Gérard Waefelaer avec son écrIn et lettre de don , Ring Leopold I in case donated to Gérard Waefelaer including gift letter, Ring Leopold I in etui geschonken aan Gerard Waefelaer met bijhorende schenkingsbrief",B512010_01.tif,b512010-01.jpg,
107373,28269,"Ontwerptekening voor takbroches en houder voor portretminiatuur","B512/22/9 - Design for spray brooches and frame for portrait miniature, Ontwerptekening voor takbroches en houder voor portretminiatuur",B51202209_01.tif,,
135848,26971,"Familie op bezoek bij DIVA","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",Diva_sigridspinnox-74.jpg,u9702001.jpg,
135802,26971,"Familie op bezoek bij DIVA","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",Diva_sigridspinnox-63-mama.jpg,u9702001.jpg,
128182,26971,"Foto DIVA Antwerpen","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier","Landscape Antwerpen DIVA (11).jpg",u9702001.jpg,
124989,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_1043.tif,u9702001.jpg,
124985,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0862.tif,u9702001.jpg,
124983,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0782.tif,u9702001.jpg,
124980,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0757.tiff,u9702001.jpg,
127075,26971,"Zaalzicht MiM","- Ridder te paard, Knight on horseback, Ritter zu Pferd, Cavalier",20210310_0135_2.tif,u9702001.jpg,
135707,9300,"Merk van Sint-Michielsbeeldje","S2002/193 - Sculpture of Saint Michael, Sint-Michielsbeeldje",U0219301_0048.tif,s0219302-0078.jpg,
133714,2182,Koffiekan,"S75/31 - Cafetière, Coffeepot, Kaffeekanne, Koffiekan",S7503102.tif,s7503103-0429.jpg,
136064,10910,"Mosterdpot en zoutvat","S2005/29 - Mosterdpot en zoutvat, Mustard pot and salt",T0502902.tif,t0502901.jpg,
136063,10910,"Mosterdpot en zoutvat","S2005/29 - Mosterdpot en zoutvat, Mustard pot and salt",T0502901.tif,t0502901.jpg,X
136062,10900,Mosterdpot,"S2005/21 - Mosterdpot, Mustard pot",T0502101.tif,s0502101.jpg,
136074,11022,"Merk van Koffielepel","S2005/83A - Koffielepel",U05083A3.tif,s0508301.jpg,
133661,1798,Onze-Lieve-Vrouwekroon,"S74/4 - Couronne de la Vierge, Crown of Our Lady, Muttergottes-Krone, Onze-Lieve-Vrouwekroon",S7400402.tif,u7400403.jpg,
136256,10900,Mosterdpot,"S2005/21 - Mosterdpot, Mustard pot",T0502101.tif,s0502101.jpg,
136670,11623,,"S2006/6 - Pijphouder, Pipe holder",S0600601.tif,s0600601.jpg,X
135310,3521,"Vaas Le Maraudeur","S99/15 - Le Maraudeur vase, Vaas Le Maraudeur",S9901501.TIF,u9901501.jpg,
124654,29347,"Omslag van 'Voorwerpen gevonden tydens de Scheldekaaiwerken te Antwerpen'","P595/1 - Omslag van <i>Voorwerpen gevonden tydens de Scheldekaaiwerken te Antwerpen</i>",P595001_01.tif,,
122185,27841,"Cultured Manners #68: Mes in rookkwarts","S2017/11/1 - Cultured Manners #68: Mes in rookkwarts, Cultured Manners #68: Smokey Rutile Crystal Knife",S1701101.tif,s1701101.jpg,X
119314,14556,"Cassettezoldering Ducci","S927 - Cassettezoldering Ducci",AS092701.TIF,,
118277,2122,Stralenmonstrans,"S70/18 - Ostensoir-soleil, Strahlenmonstranz, Stralenmonstrans, Sunburst monstrance",S70018_M01_2.tif,s7001801-1.jpg,
118273,2122,Stralenmonstrans,"S70/18 - Ostensoir-soleil, Strahlenmonstranz, Stralenmonstrans, Sunburst monstrance",S70018_14.tif,s7001801-1.jpg,
